dni,nombre,cuenta,moneda,monto,bic,concepto,cargos
10002112,BENEFICIARIO 02112,001000002112,PEN,1552.26,BCPLPEPLXXX,PAGO PROVEEDOR 02112,SHA
10002113,BENEFICIARIO 02113,001000002113,PEN,1552.99,BINPPEPLXXX,PAGO PROVEEDOR 02113,OUR
10002114,BENEFICIARIO 02114,001000002114,PEN,1553.72,SCBLPEPLXXX,PAGO PROVEEDOR 02114,BEN
10002115,BENEFICIARIO 02115,001000002115,USD,1554.45,CITIPEPLXXX,PAGO PROVEEDOR 02115,SHA
10002116,BENEFICIARIO 02116,001000002116,PEN,1555.18,BCPLPEPLXXX,PAGO PROVEEDOR 02116,OUR
10002117,BENEFICIARIO 02117,001000002117,PEN,1555.91,BINPPEPLXXX,PAGO PROVEEDOR 02117,BEN
10002118,BENEFICIARIO 02118,001000002118,PEN,1556.64,SCBLPEPLXXX,PAGO PROVEEDOR 02118,SHA
10002119,BENEFICIARIO 02119,001000002119,PEN,1557.37,CITIPEPLXXX,PAGO PROVEEDOR 02119,OUR
10002120,BENEFICIARIO 02120,001000002120,USD,1558.10,BCPLPEPLXXX,PAGO PROVEEDOR 02120,BEN
10002121,BENEFICIARIO 02121,001000002121,PEN,1558.83,BINPPEPLXXX,PAGO PROVEEDOR 02121,SHA
10002122,BENEFICIARIO 02122,001000002122,PEN,1559.56,SCBLPEPLXXX,PAGO PROVEEDOR 02122,OUR
10002123,BENEFICIARIO 02123,001000002123,PEN,1560.29,CITIPEPLXXX,PAGO PROVEEDOR 02123,BEN
10002124,BENEFICIARIO 02124,001000002124,PEN,1561.02,BCPLPEPLXXX,PAGO PROVEEDOR 02124,SHA
10002125,BENEFICIARIO 02125,001000002125,USD,1561.75,BINPPEPLXXX,PAGO PROVEEDOR 02125,OUR
10002126,BENEFICIARIO 02126,001000002126,PEN,1562.48,SCBLPEPLXXX,PAGO PROVEEDOR 02126,BEN
10002127,BENEFICIARIO 02127,001000002127,PEN,1563.21,CITIPEPLXXX,PAGO PROVEEDOR 02127,SHA
10002128,BENEFICIARIO 02128,001000002128,PEN,1563.94,BCPLPEPLXXX,PAGO PROVEEDOR 02128,OUR
10002129,BENEFICIARIO 02129,001000002129,PEN,1564.67,BINPPEPLXXX,PAGO PROVEEDOR 02129,BEN
10002130,BENEFICIARIO 02130,001000002130,USD,1565.40,SCBLPEPLXXX,PAGO PROVEEDOR 02130,SHA
10002131,BENEFICIARIO 02131,001000002131,PEN,1566.13,CITIPEPLXXX,PAGO PROVEEDOR 02131,OUR
10002132,BENEFICIARIO 02132,001000002132,PEN,1566.86,BCPLPEPLXXX,PAGO PROVEEDOR 02132,BEN
10002133,BENEFICIARIO 02133,001000002133,PEN,1567.59,BINPPEPLXXX,PAGO PROVEEDOR 02133,SHA
10002134,BENEFICIARIO 02134,001000002134,PEN,1568.32,SCBLPEPLXXX,PAGO PROVEEDOR 02134,OUR
10002135,BENEFICIARIO 02135,001000002135,USD,1569.05,CITIPEPLXXX,PAGO PROVEEDOR 02135,BEN
10002136,BENEFICIARIO 02136,001000002136,PEN,1569.78,BCPLPEPLXXX,PAGO PROVEEDOR 02136,SHA
10002137,BENEFICIARIO 02137,001000002137,PEN,1570.51,BINPPEPLXXX,PAGO PROVEEDOR 02137,OUR
10002138,BENEFICIARIO 02138,001000002138,PEN,1571.24,SCBLPEPLXXX,PAGO PROVEEDOR 02138,BEN
10002139,BENEFICIARIO 02139,001000002139,PEN,1571.97,CITIPEPLXXX,PAGO PROVEEDOR 02139,SHA
10002140,BENEFICIARIO 02140,001000002140,USD,1572.70,BCPLPEPLXXX,PAGO PROVEEDOR 02140,OUR
10002141,BENEFICIARIO 02141,001000002141,PEN,1573.43,BINPPEPLXXX,PAGO PROVEEDOR 02141,BEN
10002142,BENEFICIARIO 02142,001000002142,PEN,1574.16,SCBLPEPLXXX,PAGO PROVEEDOR 02142,SHA
10002143,BENEFICIARIO 02143,001000002143,PEN,1574.89,CITIPEPLXXX,PAGO PROVEEDOR 02143,OUR
10002144,BENEFICIARIO 02144,001000002144,PEN,1575.62,BCPLPEPLXXX,PAGO PROVEEDOR 02144,BEN
10002145,BENEFICIARIO 02145,001000002145,USD,1576.35,BINPPEPLXXX,PAGO PROVEEDOR 02145,SHA
10002146,BENEFICIARIO 02146,001000002146,PEN,1577.08,SCBLPEPLXXX,PAGO PROVEEDOR 02146,OUR
10002147,BENEFICIARIO 02147,001000002147,PEN,1577.81,CITIPEPLXXX,PAGO PROVEEDOR 02147,BEN
10002148,BENEFICIARIO 02148,001000002148,PEN,1578.54,BCPLPEPLXXX,PAGO PROVEEDOR 02148,SHA
10002149,BENEFICIARIO 02149,001000002149,PEN,1579.27,BINPPEPLXXX,PAGO PROVEEDOR 02149,OUR
10002150,BENEFICIARIO 02150,001000002150,USD,1580.00,SCBLPEPLXXX,PAGO PROVEEDOR 02150,BEN
10002151,BENEFICIARIO 02151,001000002151,PEN,1580.73,CITIPEPLXXX,PAGO PROVEEDOR 02151,SHA
10002152,BENEFICIARIO 02152,001000002152,PEN,1581.46,BCPLPEPLXXX,PAGO PROVEEDOR 02152,OUR
10002153,BENEFICIARIO 02153,001000002153,PEN,1582.19,BINPPEPLXXX,PAGO PROVEEDOR 02153,BEN
10002154,BENEFICIARIO 02154,001000002154,PEN,1582.92,SCBLPEPLXXX,PAGO PROVEEDOR 02154,SHA
10002155,BENEFICIARIO 02155,001000002155,USD,1583.65,CITIPEPLXXX,PAGO PROVEEDOR 02155,OUR
10002156,BENEFICIARIO 02156,001000002156,PEN,1584.38,BCPLPEPLXXX,PAGO PROVEEDOR 02156,BEN
10002157,BENEFICIARIO 02157,001000002157,PEN,1585.11,BINPPEPLXXX,PAGO PROVEEDOR 02157,SHA
10002158,BENEFICIARIO 02158,001000002158,PEN,1585.84,SCBLPEPLXXX,PAGO PROVEEDOR 02158,OUR
10002159,BENEFICIARIO 02159,001000002159,PEN,1586.57,CITIPEPLXXX,PAGO PROVEEDOR 02159,BEN
10002160,BENEFICIARIO 02160,001000002160,USD,1587.30,BCPLPEPLXXX,PAGO PROVEEDOR 02160,SHA
10002161,BENEFICIARIO 02161,001000002161,PEN,1588.03,BINPPEPLXXX,PAGO PROVEEDOR 02161,OUR
10002162,BENEFICIARIO 02162,001000002162,PEN,1588.76,SCBLPEPLXXX,PAGO PROVEEDOR 02162,BEN
10002163,BENEFICIARIO 02163,001000002163,PEN,1589.49,CITIPEPLXXX,PAGO PROVEEDOR 02163,SHA
10002164,BENEFICIARIO 02164,001000002164,PEN,1590.22,BCPLPEPLXXX,PAGO PROVEEDOR 02164,OUR
10002165,BENEFICIARIO 02165,001000002165,USD,1590.95,BINPPEPLXXX,PAGO PROVEEDOR 02165,BEN
10002166,BENEFICIARIO 02166,001000002166,PEN,1591.68,SCBLPEPLXXX,PAGO PROVEEDOR 02166,SHA
10002167,BENEFICIARIO 02167,001000002167,PEN,1592.41,CITIPEPLXXX,PAGO PROVEEDOR 02167,OUR
10002168,BENEFICIARIO 02168,001000002168,PEN,1593.14,BCPLPEPLXXX,PAGO PROVEEDOR 02168,BEN
10002169,BENEFICIARIO 02169,001000002169,PEN,1593.87,BINPPEPLXXX,PAGO PROVEEDOR 02169,SHA
10002170,BENEFICIARIO 02170,001000002170,USD,1594.60,SCBLPEPLXXX,PAGO PROVEEDOR 02170,OUR
10002171,BENEFICIARIO 02171,001000002171,PEN,1595.33,CITIPEPLXXX,PAGO PROVEEDOR 02171,BEN
10002172,BENEFICIARIO 02172,001000002172,PEN,1596.06,BCPLPEPLXXX,PAGO PROVEEDOR 02172,SHA
10002173,BENEFICIARIO 02173,001000002173,PEN,1596.79,BINPPEPLXXX,PAGO PROVEEDOR 02173,OUR
10002174,BENEFICIARIO 02174,001000002174,PEN,1597.52,SCBLPEPLXXX,PAGO PROVEEDOR 02174,BEN
10002175,BENEFICIARIO 02175,001000002175,USD,1598.25,CITIPEPLXXX,PAGO PROVEEDOR 02175,SHA
10002176,BENEFICIARIO 02176,001000002176,PEN,1598.98,BCPLPEPLXXX,PAGO PROVEEDOR 02176,OUR
10002177,BENEFICIARIO 02177,001000002177,PEN,1599.71,BINPPEPLXXX,PAGO PROVEEDOR 02177,BEN
10002178,BENEFICIARIO 02178,001000002178,PEN,1600.44,SCBLPEPLXXX,PAGO PROVEEDOR 02178,SHA
10002179,BENEFICIARIO 02179,001000002179,PEN,1601.17,CITIPEPLXXX,PAGO PROVEEDOR 02179,OUR
10002180,BENEFICIARIO 02180,001000002180,USD,1601.90,BCPLPEPLXXX,PAGO PROVEEDOR 02180,BEN
10002181,BENEFICIARIO 02181,001000002181,PEN,1602.63,BINPPEPLXXX,PAGO PROVEEDOR 02181,SHA
10002182,BENEFICIARIO 02182,001000002182,PEN,1603.36,SCBLPEPLXXX,PAGO PROVEEDOR 02182,OUR
10002183,BENEFICIARIO 02183,001000002183,PEN,1604.09,CITIPEPLXXX,PAGO PROVEEDOR 02183,BEN
10002184,BENEFICIARIO 02184,001000002184,PEN,1604.82,BCPLPEPLXXX,PAGO PROVEEDOR 02184,SHA
10002185,BENEFICIARIO 02185,001000002185,USD,1605.55,BINPPEPLXXX,PAGO PROVEEDOR 02185,OUR
10002186,BENEFICIARIO 02186,001000002186,PEN,1606.28,SCBLPEPLXXX,PAGO PROVEEDOR 02186,BEN
10002187,BENEFICIARIO 02187,001000002187,PEN,1607.01,CITIPEPLXXX,PAGO PROVEEDOR 02187,SHA
10002188,BENEFICIARIO 02188,001000002188,PEN,1607.74,BCPLPEPLXXX,PAGO PROVEEDOR 02188,OUR
10002189,BENEFICIARIO 02189,001000002189,PEN,1608.47,BINPPEPLXXX,PAGO PROVEEDOR 02189,BEN
10002190,BENEFICIARIO 02190,001000002190,USD,1609.20,SCBLPEPLXXX,PAGO PROVEEDOR 02190,SHA
10002191,BENEFICIARIO 02191,001000002191,PEN,1609.93,CITIPEPLXXX,PAGO PROVEEDOR 02191,OUR
10002192,BENEFICIARIO 02192,001000002192,PEN,1610.66,BCPLPEPLXXX,PAGO PROVEEDOR 02192,BEN
10002193,BENEFICIARIO 02193,001000002193,PEN,1611.39,BINPPEPLXXX,PAGO PROVEEDOR 02193,SHA
10002194,BENEFICIARIO 02194,001000002194,PEN,1612.12,SCBLPEPLXXX,PAGO PROVEEDOR 02194,OUR
10002195,BENEFICIARIO 02195,001000002195,USD,1612.85,CITIPEPLXXX,PAGO PROVEEDOR 02195,BEN
10002196,BENEFICIARIO 02196,001000002196,PEN,1613.58,BCPLPEPLXXX,PAGO PROVEEDOR 02196,SHA
10002197,BENEFICIARIO 02197,001000002197,PEN,1614.31,BINPPEPLXXX,PAGO PROVEEDOR 02197,OUR
10002198,BENEFICIARIO 02198,001000002198,PEN,1615.04,SCBLPEPLXXX,PAGO PROVEEDOR 02198,BEN
10002199,BENEFICIARIO 02199,001000002199,PEN,1615.77,CITIPEPLXXX,PAGO PROVEEDOR 02199,SHA
10002200,BENEFICIARIO 02200,001000002200,USD,1616.50,BCPLPEPLXXX,PAGO PROVEEDOR 02200,OUR
10002201,BENEFICIARIO 02201,001000002201,PEN,1617.23,BINPPEPLXXX,PAGO PROVEEDOR 02201,BEN
10002202,BENEFICIARIO 02202,001000002202,PEN,1617.96,SCBLPEPLXXX,PAGO PROVEEDOR 02202,SHA
10002203,BENEFICIARIO 02203,001000002203,PEN,1618.69,CITIPEPLXXX,PAGO PROVEEDOR 02203,OUR
10002204,BENEFICIARIO 02204,001000002204,PEN,1619.42,BCPLPEPLXXX,PAGO PROVEEDOR 02204,BEN
10002205,BENEFICIARIO 02205,001000002205,USD,1620.15,BINPPEPLXXX,PAGO PROVEEDOR 02205,SHA
10002206,BENEFICIARIO 02206,001000002206,PEN,1620.88,SCBLPEPLXXX,PAGO PROVEEDOR 02206,OUR
10002207,BENEFICIARIO 02207,001000002207,PEN,1621.61,CITIPEPLXXX,PAGO PROVEEDOR 02207,BEN
10002208,BENEFICIARIO 02208,001000002208,PEN,1622.34,BCPLPEPLXXX,PAGO PROVEEDOR 02208,SHA
10002209,BENEFICIARIO 02209,001000002209,PEN,1623.07,BINPPEPLXXX,PAGO PROVEEDOR 02209,OUR
10002210,BENEFICIARIO 02210,001000002210,USD,1623.80,SCBLPEPLXXX,PAGO PROVEEDOR 02210,BEN
10002211,BENEFICIARIO 02211,001000002211,PEN,1624.53,CITIPEPLXXX,PAGO PROVEEDOR 02211,SHA
10002212,BENEFICIARIO 02212,001000002212,PEN,1625.26,BCPLPEPLXXX,PAGO PROVEEDOR 02212,OUR
10002213,BENEFICIARIO 02213,001000002213,PEN,1625.99,BINPPEPLXXX,PAGO PROVEEDOR 02213,BEN
10002214,BENEFICIARIO 02214,001000002214,PEN,1626.72,SCBLPEPLXXX,PAGO PROVEEDOR 02214,SHA
10002215,BENEFICIARIO 02215,001000002215,USD,1627.45,CITIPEPLXXX,PAGO PROVEEDOR 02215,OUR
10002216,BENEFICIARIO 02216,001000002216,PEN,1628.18,BCPLPEPLXXX,PAGO PROVEEDOR 02216,BEN
10002217,BENEFICIARIO 02217,001000002217,PEN,1628.91,BINPPEPLXXX,PAGO PROVEEDOR 02217,SHA
10002218,BENEFICIARIO 02218,001000002218,PEN,1629.64,SCBLPEPLXXX,PAGO PROVEEDOR 02218,OUR
10002219,BENEFICIARIO 02219,001000002219,PEN,1630.37,CITIPEPLXXX,PAGO PROVEEDOR 02219,BEN
10002220,BENEFICIARIO 02220,001000002220,USD,1631.10,BCPLPEPLXXX,PAGO PROVEEDOR 02220,SHA
10002221,BENEFICIARIO 02221,001000002221,PEN,1631.83,BINPPEPLXXX,PAGO PROVEEDOR 02221,OUR
10002222,BENEFICIARIO 02222,001000002222,PEN,1632.56,SCBLPEPLXXX,PAGO PROVEEDOR 02222,BEN
10002223,BENEFICIARIO 02223,001000002223,PEN,1633.29,CITIPEPLXXX,PAGO PROVEEDOR 02223,SHA
10002224,BENEFICIARIO 02224,001000002224,PEN,1634.02,BCPLPEPLXXX,PAGO PROVEEDOR 02224,OUR
10002225,BENEFICIARIO 02225,001000002225,USD,1634.75,BINPPEPLXXX,PAGO PROVEEDOR 02225,BEN
10002226,BENEFICIARIO 02226,001000002226,PEN,1635.48,SCBLPEPLXXX,PAGO PROVEEDOR 02226,SHA
10002227,BENEFICIARIO 02227,001000002227,PEN,1636.21,CITIPEPLXXX,PAGO PROVEEDOR 02227,OUR
10002228,BENEFICIARIO 02228,001000002228,PEN,1636.94,BCPLPEPLXXX,PAGO PROVEEDOR 02228,BEN
10002229,BENEFICIARIO 02229,001000002229,PEN,1637.67,BINPPEPLXXX,PAGO PROVEEDOR 02229,SHA
10002230,BENEFICIARIO 02230,001000002230,USD,1638.40,SCBLPEPLXXX,PAGO PROVEEDOR 02230,OUR
10002231,BENEFICIARIO 02231,001000002231,PEN,1639.13,CITIPEPLXXX,PAGO PROVEEDOR 02231,BEN
10002232,BENEFICIARIO 02232,001000002232,PEN,1639.86,BCPLPEPLXXX,PAGO PROVEEDOR 02232,SHA
10002233,BENEFICIARIO 02233,001000002233,PEN,1640.59,BINPPEPLXXX,PAGO PROVEEDOR 02233,OUR
10002234,BENEFICIARIO 02234,001000002234,PEN,1641.32,SCBLPEPLXXX,PAGO PROVEEDOR 02234,BEN
10002235,BENEFICIARIO 02235,001000002235,USD,1642.05,CITIPEPLXXX,PAGO PROVEEDOR 02235,SHA
10002236,BENEFICIARIO 02236,001000002236,PEN,1642.78,BCPLPEPLXXX,PAGO PROVEEDOR 02236,OUR
10002237,BENEFICIARIO 02237,001000002237,PEN,1643.51,BINPPEPLXXX,PAGO PROVEEDOR 02237,BEN
10002238,BENEFICIARIO 02238,001000002238,PEN,1644.24,SCBLPEPLXXX,PAGO PROVEEDOR 02238,SHA
10002239,BENEFICIARIO 02239,001000002239,PEN,1644.97,CITIPEPLXXX,PAGO PROVEEDOR 02239,OUR
10002240,BENEFICIARIO 02240,001000002240,USD,1645.70,BCPLPEPLXXX,PAGO PROVEEDOR 02240,BEN
10002241,BENEFICIARIO 02241,001000002241,PEN,1646.43,BINPPEPLXXX,PAGO PROVEEDOR 02241,SHA
10002242,BENEFICIARIO 02242,001000002242,PEN,1647.16,SCBLPEPLXXX,PAGO PROVEEDOR 02242,OUR
10002243,BENEFICIARIO 02243,001000002243,PEN,1647.89,CITIPEPLXXX,PAGO PROVEEDOR 02243,BEN
10002244,BENEFICIARIO 02244,001000002244,PEN,1648.62,BCPLPEPLXXX,PAGO PROVEEDOR 02244,SHA
10002245,BENEFICIARIO 02245,001000002245,USD,1649.35,BINPPEPLXXX,PAGO PROVEEDOR 02245,OUR
10002246,BENEFICIARIO 02246,001000002246,PEN,1650.08,SCBLPEPLXXX,PAGO PROVEEDOR 02246,BEN
10002247,BENEFICIARIO 02247,001000002247,PEN,1650.81,CITIPEPLXXX,PAGO PROVEEDOR 02247,SHA
10002248,BENEFICIARIO 02248,001000002248,PEN,1651.54,BCPLPEPLXXX,PAGO PROVEEDOR 02248,OUR
10002249,BENEFICIARIO 02249,001000002249,PEN,1652.27,BINPPEPLXXX,PAGO PROVEEDOR 02249,BEN
10002250,BENEFICIARIO 02250,001000002250,USD,1653.00,SCBLPEPLXXX,PAGO PROVEEDOR 02250,SHA
10002251,BENEFICIARIO 02251,001000002251,PEN,1653.73,CITIPEPLXXX,PAGO PROVEEDOR 02251,OUR
10002252,BENEFICIARIO 02252,001000002252,PEN,1654.46,BCPLPEPLXXX,PAGO PROVEEDOR 02252,BEN
10002253,BENEFICIARIO 02253,001000002253,PEN,1655.19,BINPPEPLXXX,PAGO PROVEEDOR 02253,SHA
10002254,BENEFICIARIO 02254,001000002254,PEN,1655.92,SCBLPEPLXXX,PAGO PROVEEDOR 02254,OUR
10002255,BENEFICIARIO 02255,001000002255,USD,1656.65,CITIPEPLXXX,PAGO PROVEEDOR 02255,BEN
10002256,BENEFICIARIO 02256,001000002256,PEN,1657.38,BCPLPEPLXXX,PAGO PROVEEDOR 02256,SHA
10002257,BENEFICIARIO 02257,001000002257,PEN,1658.11,BINPPEPLXXX,PAGO PROVEEDOR 02257,OUR
10002258,BENEFICIARIO 02258,001000002258,PEN,1658.84,SCBLPEPLXXX,PAGO PROVEEDOR 02258,BEN
10002259,BENEFICIARIO 02259,001000002259,PEN,1659.57,CITIPEPLXXX,PAGO PROVEEDOR 02259,SHA
10002260,BENEFICIARIO 02260,001000002260,USD,1660.30,BCPLPEPLXXX,PAGO PROVEEDOR 02260,OUR
10002261,BENEFICIARIO 02261,001000002261,PEN,1661.03,BINPPEPLXXX,PAGO PROVEEDOR 02261,BEN
10002262,BENEFICIARIO 02262,001000002262,PEN,1661.76,SCBLPEPLXXX,PAGO PROVEEDOR 02262,SHA
10002263,BENEFICIARIO 02263,001000002263,PEN,1662.49,CITIPEPLXXX,PAGO PROVEEDOR 02263,OUR
10002264,BENEFICIARIO 02264,001000002264,PEN,1663.22,BCPLPEPLXXX,PAGO PROVEEDOR 02264,BEN
10002265,BENEFICIARIO 02265,001000002265,USD,1663.95,BINPPEPLXXX,PAGO PROVEEDOR 02265,SHA
10002266,BENEFICIARIO 02266,001000002266,PEN,1664.68,SCBLPEPLXXX,PAGO PROVEEDOR 02266,OUR
10002267,BENEFICIARIO 02267,001000002267,PEN,1665.41,CITIPEPLXXX,PAGO PROVEEDOR 02267,BEN
10002268,BENEFICIARIO 02268,001000002268,PEN,1666.14,BCPLPEPLXXX,PAGO PROVEEDOR 02268,SHA
10002269,BENEFICIARIO 02269,001000002269,PEN,1666.87,BINPPEPLXXX,PAGO PROVEEDOR 02269,OUR
10002270,BENEFICIARIO 02270,001000002270,USD,1667.60,SCBLPEPLXXX,PAGO PROVEEDOR 02270,BEN
10002271,BENEFICIARIO 02271,001000002271,PEN,1668.33,CITIPEPLXXX,PAGO PROVEEDOR 02271,SHA
10002272,BENEFICIARIO 02272,001000002272,PEN,1669.06,BCPLPEPLXXX,PAGO PROVEEDOR 02272,OUR
10002273,BENEFICIARIO 02273,001000002273,PEN,1669.79,BINPPEPLXXX,PAGO PROVEEDOR 02273,BEN
10002274,BENEFICIARIO 02274,001000002274,PEN,1670.52,SCBLPEPLXXX,PAGO PROVEEDOR 02274,SHA
10002275,BENEFICIARIO 02275,001000002275,USD,1671.25,CITIPEPLXXX,PAGO PROVEEDOR 02275,OUR
10002276,BENEFICIARIO 02276,001000002276,PEN,1671.98,BCPLPEPLXXX,PAGO PROVEEDOR 02276,BEN
10002277,BENEFICIARIO 02277,001000002277,PEN,1672.71,BINPPEPLXXX,PAGO PROVEEDOR 02277,SHA
10002278,BENEFICIARIO 02278,001000002278,PEN,1673.44,SCBLPEPLXXX,PAGO PROVEEDOR 02278,OUR
10002279,BENEFICIARIO 02279,001000002279,PEN,1674.17,CITIPEPLXXX,PAGO PROVEEDOR 02279,BEN
10002280,BENEFICIARIO 02280,001000002280,USD,1674.90,BCPLPEPLXXX,PAGO PROVEEDOR 02280,SHA
10002281,BENEFICIARIO 02281,001000002281,PEN,1675.63,BINPPEPLXXX,PAGO PROVEEDOR 02281,OUR
10002282,BENEFICIARIO 02282,001000002282,PEN,1676.36,SCBLPEPLXXX,PAGO PROVEEDOR 02282,BEN
10002283,BENEFICIARIO 02283,001000002283,PEN,1677.09,CITIPEPLXXX,PAGO PROVEEDOR 02283,SHA
10002284,BENEFICIARIO 02284,001000002284,PEN,1677.82,BCPLPEPLXXX,PAGO PROVEEDOR 02284,OUR
10002285,BENEFICIARIO 02285,001000002285,USD,1678.55,BINPPEPLXXX,PAGO PROVEEDOR 02285,BEN
10002286,BENEFICIARIO 02286,001000002286,PEN,1679.28,SCBLPEPLXXX,PAGO PROVEEDOR 02286,SHA
10002287,BENEFICIARIO 02287,001000002287,PEN,1680.01,CITIPEPLXXX,PAGO PROVEEDOR 02287,OUR
10002288,BENEFICIARIO 02288,001000002288,PEN,1680.74,BCPLPEPLXXX,PAGO PROVEEDOR 02288,BEN
10002289,BENEFICIARIO 02289,001000002289,PEN,1681.47,BINPPEPLXXX,PAGO PROVEEDOR 02289,SHA
10002290,BENEFICIARIO 02290,001000002290,USD,1682.20,SCBLPEPLXXX,PAGO PROVEEDOR 02290,OUR
10002291,BENEFICIARIO 02291,001000002291,PEN,1682.93,CITIPEPLXXX,PAGO PROVEEDOR 02291,BEN
10002292,BENEFICIARIO 02292,001000002292,PEN,1683.66,BCPLPEPLXXX,PAGO PROVEEDOR 02292,SHA
10002293,BENEFICIARIO 02293,001000002293,PEN,1684.39,BINPPEPLXXX,PAGO PROVEEDOR 02293,OUR
10002294,BENEFICIARIO 02294,001000002294,PEN,1685.12,SCBLPEPLXXX,PAGO PROVEEDOR 02294,BEN
10002295,BENEFICIARIO 02295,001000002295,USD,1685.85,CITIPEPLXXX,PAGO PROVEEDOR 02295,SHA
10002296,BENEFICIARIO 02296,001000002296,PEN,1686.58,BCPLPEPLXXX,PAGO PROVEEDOR 02296,OUR
10002297,BENEFICIARIO 02297,001000002297,PEN,1687.31,BINPPEPLXXX,PAGO PROVEEDOR 02297,BEN
10002298,BENEFICIARIO 02298,001000002298,PEN,1688.04,SCBLPEPLXXX,PAGO PROVEEDOR 02298,SHA
10002299,BENEFICIARIO 02299,001000002299,PEN,1688.77,CITIPEPLXXX,PAGO PROVEEDOR 02299,OUR
10002300,BENEFICIARIO 02300,001000002300,USD,1689.50,BCPLPEPLXXX,PAGO PROVEEDOR 02300,BEN
10002301,BENEFICIARIO 02301,001000002301,PEN,1690.23,BINPPEPLXXX,PAGO PROVEEDOR 02301,SHA
10002302,BENEFICIARIO 02302,001000002302,PEN,1690.96,SCBLPEPLXXX,PAGO PROVEEDOR 02302,OUR
10002303,BENEFICIARIO 02303,001000002303,PEN,1691.69,CITIPEPLXXX,PAGO PROVEEDOR 02303,BEN
10002304,BENEFICIARIO 02304,001000002304,PEN,1692.42,BCPLPEPLXXX,PAGO PROVEEDOR 02304,SHA
10002305,BENEFICIARIO 02305,001000002305,USD,1693.15,BINPPEPLXXX,PAGO PROVEEDOR 02305,OUR
10002306,BENEFICIARIO 02306,001000002306,PEN,1693.88,SCBLPEPLXXX,PAGO PROVEEDOR 02306,BEN
10002307,BENEFICIARIO 02307,001000002307,PEN,1694.61,CITIPEPLXXX,PAGO PROVEEDOR 02307,SHA
10002308,BENEFICIARIO 02308,001000002308,PEN,1695.34,BCPLPEPLXXX,PAGO PROVEEDOR 02308,OUR
10002309,BENEFICIARIO 02309,001000002309,PEN,1696.07,BINPPEPLXXX,PAGO PROVEEDOR 02309,BEN
10002310,BENEFICIARIO 02310,001000002310,USD,1696.80,SCBLPEPLXXX,PAGO PROVEEDOR 02310,SHA
10002311,BENEFICIARIO 02311,001000002311,PEN,1697.53,CITIPEPLXXX,PAGO PROVEEDOR 02311,OUR
10002312,BENEFICIARIO 02312,001000002312,PEN,1698.26,BCPLPEPLXXX,PAGO PROVEEDOR 02312,BEN
10002313,BENEFICIARIO 02313,001000002313,PEN,1698.99,BINPPEPLXXX,PAGO PROVEEDOR 02313,SHA
10002314,BENEFICIARIO 02314,001000002314,PEN,1699.72,SCBLPEPLXXX,PAGO PROVEEDOR 02314,OUR
10002315,BENEFICIARIO 02315,001000002315,USD,1700.45,CITIPEPLXXX,PAGO PROVEEDOR 02315,BEN
10002316,BENEFICIARIO 02316,001000002316,PEN,1701.18,BCPLPEPLXXX,PAGO PROVEEDOR 02316,SHA
10002317,BENEFICIARIO 02317,001000002317,PEN,1701.91,BINPPEPLXXX,PAGO PROVEEDOR 02317,OUR
10002318,BENEFICIARIO 02318,001000002318,PEN,1702.64,SCBLPEPLXXX,PAGO PROVEEDOR 02318,BEN
10002319,BENEFICIARIO 02319,001000002319,PEN,1703.37,CITIPEPLXXX,PAGO PROVEEDOR 02319,SHA
10002320,BENEFICIARIO 02320,001000002320,USD,1704.10,BCPLPEPLXXX,PAGO PROVEEDOR 02320,OUR
10002321,BENEFICIARIO 02321,001000002321,PEN,1704.83,BINPPEPLXXX,PAGO PROVEEDOR 02321,BEN
10002322,BENEFICIARIO 02322,001000002322,PEN,1705.56,SCBLPEPLXXX,PAGO PROVEEDOR 02322,SHA
10002323,BENEFICIARIO 02323,001000002323,PEN,1706.29,CITIPEPLXXX,PAGO PROVEEDOR 02323,OUR
10002324,BENEFICIARIO 02324,001000002324,PEN,1707.02,BCPLPEPLXXX,PAGO PROVEEDOR 02324,BEN
10002325,BENEFICIARIO 02325,001000002325,USD,1707.75,BINPPEPLXXX,PAGO PROVEEDOR 02325,SHA
10002326,BENEFICIARIO 02326,001000002326,PEN,1708.48,SCBLPEPLXXX,PAGO PROVEEDOR 02326,OUR
10002327,BENEFICIARIO 02327,001000002327,PEN,1709.21,CITIPEPLXXX,PAGO PROVEEDOR 02327,BEN
10002328,BENEFICIARIO 02328,001000002328,PEN,1709.94,BCPLPEPLXXX,PAGO PROVEEDOR 02328,SHA
10002329,BENEFICIARIO 02329,001000002329,PEN,1710.67,BINPPEPLXXX,PAGO PROVEEDOR 02329,OUR
10002330,BENEFICIARIO 02330,001000002330,USD,1711.40,SCBLPEPLXXX,PAGO PROVEEDOR 02330,BEN
10002331,BENEFICIARIO 02331,001000002331,PEN,1712.13,CITIPEPLXXX,PAGO PROVEEDOR 02331,SHA
10002332,BENEFICIARIO 02332,001000002332,PEN,1712.86,BCPLPEPLXXX,PAGO PROVEEDOR 02332,OUR
10002333,BENEFICIARIO 02333,001000002333,PEN,1713.59,BINPPEPLXXX,PAGO PROVEEDOR 02333,BEN
10002334,BENEFICIARIO 02334,001000002334,PEN,1714.32,SCBLPEPLXXX,PAGO PROVEEDOR 02334,SHA
10002335,BENEFICIARIO 02335,001000002335,USD,1715.05,CITIPEPLXXX,PAGO PROVEEDOR 02335,OUR
